Year,Month,AvgMaxTemp,AvgMinTemp,Rainfall
2015,1,30.5,22.5,322.4
2015,2,29.3,20.9,274.8
2015,3,30.2,21.3,161.4
2015,4,26.1,17.0,146.2
2015,5,24.5,13.9,248.8
2015,6,21.6,12.5,34.6
2015,7,21.1,10.2,9.2
2015,8,23.7,11.6,27.6
2015,9,24.7,12.8,54.2
2015,10,27.1,16.3,55.8
2015,11,29.2,19.8,74.2
2015,12,29.2,20.0,36.2
2016,1,30.4,20.9,51.4
2016,2,32.0,22.0,176.1
2016,3,29.9,20.7,117.4
2016,4,28.8,18.5,12.8
2016,5,27.0,15.0,27.6
2016,6,21.5,13.1,264.8
2016,7,22.5,12.3,28.2
2016,8,23.0,11.8,31.6
2016,9,24.9,15.2,51.8
2016,10,27.1,15.1,30.2
2016,11,30.2,19.4,28.0
2016,12,30.1,21.2,102.0
2017,1,31.4,23.0,218.4
2017,2,32.5,22.7,30.6
2017,3,30.6,22.0,149.2
2017,4,26.2,16.5,5.8
2017,5,24.7,15.1,36.2
2017,6,22.8,12.9,80.0
2017,7,22.9,10.3,47.0
2017,8,24.7,10.9,5.2
2017,9,27.3,14.2,6.0
2017,10,27.0,18.9,148.8
2017,11,27.0,17.7,102.6
2017,12,30.7,20.8,97.8
2018,1,31.8,21.6,25.8
2018,2,29.7,21.2,285.4
2018,3,28.7,20.8,145.0
2018,4,27.8,18.0,36.0
2018,5,24.8,13.9,26.8
2018,6,22.6,11.4,29.2
2018,7,23.2,10.8,25.8
2018,8,24.3,9.6,25.8
2018,9,24.9,13.9,15.6
2018,10,26.1,16.7,179.2
2018,11,29.8,18.9,13.4
2018,12,30.1,20.8,51.2
2019,1,31.9,22.7,27.6
2019,2,31.6,22.0,38.0
2019,3,31.2,21.5,181.0
2019,4,26.9,17.9,42.6
2019,5,24.9,14.3,25.4
2019,6,22.8,12.4,56.9
2019,7,23.5,11.4,14.4
2019,8,24.1,11.7,3.2
2019,9,27.4,14.1,8.8
2019,10,26.8,16.5,55.0
2019,11,30.6,19.6,9.6
2019,12,31.9,21.2,207.8
2020,1,30.9,23.1,165.6
2020,2,29.9,22.3,365.8
2020,3,28.7,20.1,149.2
2020,4,28.7,17.9,5.2
2020,5,24.0,13.8,12.2
2020,6,22.7,12.5,41.6
2020,7,22.1,11.5,59.4
2020,8,23.4,11.4,19.4
2020,9,25.9,14.9,5.8
2020,10,27.8,17.0,182.8
2020,11,28.9,19.0,20.0
2020,12,29.9,22.2,127.2
2021,1,29.9,21.3,86.6
2021,2,30.0,21.5,144.2
2021,3,28.5,20.6,300.6
2021,4,26.3,16.4,112.2
2021,5,23.9,13.9,89.8
2021,6,21.7,11.5,26.4
2021,7,21.7,11.2,51.2
2021,8,23.8,12.0,8.4
2021,9,25.2,13.7,10.8
2021,10,28.3,17.3,159.4
2021,11,27.3,19.1,257.4
2021,12,29.5,20.3,140.0
2022,1,29.7,21.7,142.7
2022,2,29.1,20.5,887.0
2022,3,29.2,20.2,271.6
2022,4,27.0,18.0,42.6
2022,5,23.8,17.0,280.0
2022,6,21.3,10.5,10.4
2022,7,19.9,10.5,70.6
2022,8,22.4,10.9,17.2
2022,9,24.3,14.1,88.8
2022,10,25.8,16.7,119.0
2022,11,28.0,17.4,51.8
2022,12,28.1,18.9,111.0
2023,1,30.0,20.9,93.0
2023,2,30.9,21.5,65.0
2023,3,30.8,21.5,58.8
2023,4,27.3,16.9,56.0
2023,5,24.0,11.6,77.6
2023,6,23.3,11.3,1.8
2023,7,22.6,11.5,48.6
2023,8,24.5,12.7,22.8
2023,9,25.9,14.4,27.4
2023,10,27.5,16.8,18.4
2023,11,27.9,18.9,100.4
2023,12,31.6,21.9,207.6
2024,1,30.7,23.0,256.4
2024,2,30.8,22.5,231.2
2024,3,28.4,20.7,152.8
2024,4,27.4,18.2,66.8
2024,5,24.1,14.8,41.8
2024,6,22.6,10.9,12.6
2024,7,21.4,11.2,34.4
2024,8,25.0,13.7,71.2
2024,9,26.6,14.5,42.4
2024,10,27.3,17.5,109.0
2024,11,28.6,20.3,246.2
2024,12,30.2,22.0,339.0